,Palabra1,Palabra2,Palabra3,Palabra4,Palabra5,Palabra6,Palabra7,Palabra8,Palabra9,Palabra10,Palabra11,Palabra12,Palabra13,Palabra14,Palabra15,Palabra16,Palabra17,Palabra18,Palabra19,Palabra20,Palabra21,Palabra22
La casa,Las partes de la casa,Algunos muebles,En la mesa,En el dormitorio,En el cuarto de baño,En la cocina,En el salón-comedor,En el despacho ,El ordenador,La puerta,Suelos y paredes,La electricidad,Utensilios de cocina,Electrodomésticos ,En el jardín,El exterior de la casa,Utensilios de limpieza,Tareas domésticas,,,,
El cuerpo y la salud,Las partes del cuerpo,La cabeza,La mano y el pie,Los órganos,Los huesos,Los dientes,Los fluidos corporales,Manchas de la piel y problemas cutáneos,Sensaciones corporales,Posturas corporales,Descripción de una persona,El pelo ,La higiene,Belleza y maquillaje,Los tipos de medicamentos,Material médico pequeño,Material médico grande,,,,,
Los animales,Animales domésticos ,Crías de animales,Mamíferos españoles,Insectos y otros pequeños animales ,Pájaros españoles ,Reptiles y anfibios,Animales africanos,Animales americanos,Animales de los mares,Plagas y parásitos,Partes del cuerpo ,,,,,,,,,,,
La comida,La fruta ,Frutas tropicales,Las hortalizas ,Los productos lácteos,Los huevos,Cosas dulces,Condimentos,El pescado ,Los mariscos ,La carne,Embutidos y fiambres,Pan y cereales,La bebida,,,,,,,,,
La ropa, La ropa , La ropa interior, El calzado,Detalles de prendas de vestir,Los complementos,Telas y tejidos,Hacer y reparar prendas,,,,,,,,,,,,,,,
La familia,Vocabulario de base,Vocabulario completo,El bebé,,,,,,,,,,,,,,,,,,,
El transporte,Los medios de transporte ,Barcos,Partes del barco,La bicicleta ,El coche ,La autopista,Calles y carreteras,,,,,,,,,,,,,,,
El ocio,Actividades de ocio ,Juegos,Las cartas,El ajedrez,Juegos infantiles,Objetos de colección ,Montar a caballo,La decoración navideña,Acampar - herramientas,Acampar - dormir,Atletismo,Deportes de pelota,Deportes acuáticos,Deportes de nieve,Otros deportes,Instrumentos de viento,Instrumentos de cuerda,Instrumentos de tecla,Instrumentos de percusión,Otros instrumentos,,
El trabajo,"Profesiones salud, servicios públicos",Profesiones construcción,Profesiones alimentación,"Profesiones hotel, viajes, transporte","Profesiones belleza, moda, tiendas","Profesiones justicia, cultura, prensa",Herramientas,Herramientas de jardín,Máquinas pesadas (construcción),,,,,,,,,,,,,
El mundo vegetal,Partes del árbol,Partes de la flor,Flores ornamentales,Plantas silvestres,Árboles comunes ,,,,,,,,,,,,,,,,,
El Mundo,Países de Europa: presentación con audio,Países de Europa: ejercicio de rellenar huecos,Países de África: presentación con audio,Países de África: ejercicio de rellenar huecos,Países de Asia: presentación con audio,Países de Asia: ejercicio de rellenar huecos,Los nombres de los países: un concurso ,Los gentilicios ,Los paisajes: el agua,Los paisajes: el monte,El universo,El tiempo (meteorológico) ,El tiempo: combinaciones de palabras,El tiempo: buscar el intruso,El tiempo: crucigrama,El agua: crucigrama,El agua: verbos,Ríos europeos,Los nombres geográficos,Sinónimos: sustantivos,Sinónimos: verbos,Cambios en el clima
La ciudad,Tiendas,Servicios y edificios públicos ,La iglesia,El puerto,El aeropuerto,En el avión,,,,,,,,,,,,,,,,
"Los colores, los números y las formas",Los colores,Numerales:-0,Numerales:1 -0,Numerales:0 -9,Numerales:0 -00,Numerales:00 -99,Numerales:00 -000,Figuras y formas,Cuerpos geométricos,,,,,,,,,,,,,
